Stilling,Arbeidsgiver,Lenke,Kilde,Søkt dato,Frist,Status,Neste handling,Neste dato,Notat,Kontaktperson,Svar mottatt,Utfall,Hva jeg lærte
Kundeveileder,Eksempel AS,https://eksempel.no/stilling/1,Arbeidsplassen,2026-08-18,2026-08-31,Søkt,Følg opp på e-post,2026-08-25,Tilpasset CV mot krav 2 og 4 i annonsen,,,Venter,
,,,,,,Ikke søkt,,,,,,,
,,,,,,Ikke søkt,,,,,,,
,,,,,,Ikke søkt,,,,,,,
,,,,,,Ikke søkt,,,,,,,
,,,,,,Ikke søkt,,,,,,,
,,,,,,Ikke søkt,,,,,,,
,,,,,,Ikke søkt,,,,,,,
,,,,,,Ikke søkt,,,,,,,
,,,,,,Ikke søkt,,,,,,,
,,,,,,Ikke søkt,,,,,,,
,,,,,,Ikke søkt,,,,,,,
,,,,,,Ikke søkt,,,,,,,
,,,,,,Ikke søkt,,,,,,,
,,,,,,Ikke søkt,,,,,,,
,,,,,,Ikke søkt,,,,,,,
,,,,,,Ikke søkt,,,,,,,
,,,,,,Ikke søkt,,,,,,,
,,,,,,Ikke søkt,,,,,,,
,,,,,,Ikke søkt,,,,,,,
